property_details_id,property_id,description,square_footage,lot_size,year_built,heating_type,cooling_type,parking,amenities,last_updated,land_size,zoning_type,title_type
2,2,Beat born trip able class. Challenge hotel low student better cut able both. Take watch field among turn some keep. Whether example begin religious recognize consumer. Join public ready alone believe produce where. A fantastic property in Victoria Island.,3260,919,2009,None,Window Unit,5,"Water Heater, 24/7 Security, Balcony, Fitted Kitchen",2025-08-17 19:03:16,,,
3,3,Interesting sometimes else respond. Item point policy center design. Western require main he risk already they. Fill at in also worker pull. A fantastic property in Oluyole.,5769,1070,2010,None,None,5,"Water Heater, Fitted Kitchen, 24/7 Security",2025-08-17 19:03:16,,,
4,4,Whole its rich. Economic decision late simply yourself approach. Within team someone little painting than four most. Raise traditional process live argue. Next keep simply meeting situation must chance. A fantastic property in Ring Road.,4692,1025,1994,None,None,6,"CCTV, Fitted Kitchen, POP Ceiling",2025-08-17 19:03:16,,,
5,5,Myself onto task price support. Note that poor father. Parent feel upon. Scientist left structure appear learn back. Not indicate perhaps same pretty. Soldier dog success bank gun section. A fantastic property in Asokoro.,1794,867,1998,None,Window Unit,5,"Water Heater, Fitted Kitchen, 24/7 Security, Servant's Quarters, Balcony",2025-08-17 19:03:16,,,
6,6,Both case available begin mother could network. Explain whom state yeah. Enough food PM model million difficult key. A fantastic property in Old GRA.,5224,482,1998,Split System AC,Split System AC,5,"Balcony, Gym, CCTV",2025-08-17 19:03:16,,,
7,7,Toward civil tend room remain factor second. Piece instead successful put sea modern. Important themselves fly half. Her trade south area with science. A fantastic property in Gwarinpa.,5516,789,2020,Central AC,Window Unit,4,"CCTV, Water Heater, Balcony, Fitted Kitchen, Gym",2025-08-17 19:03:16,,,
8,8,Then team economic peace. Key for evidence here. May through smile science assume option. Person finish week allow whether soon. A fantastic property in Gwarinpa.,5897,946,1991,None,Central AC,2,"24/7 Security, Fitted Kitchen, POP Ceiling, Swimming Pool, Water Heater",2025-08-17 19:03:16,,,
9,9,Create budget manage play gas leg. Start employee environmental figure serve open. Fall national skin lot tough beautiful. Stuff cost cup public. Seem story pressure may despite citizen newspaper floor. A fantastic property in Maitama.,,831,,,,,"Gym, Fitted Kitchen, Swimming Pool, Servant's Quarters",2025-08-17 19:03:16,952,Residential,Deed of Assignment
10,10,Simply today tend camera at. Lawyer shoulder pick speech sea together guess. Also look cause democratic reach final would. Nature off instead matter. View nothing hit example. Position represent where address. A fantastic property in Ikoyi.,1737,977,2003,None,Window Unit,4,"POP Ceiling, Gym, 24/7 Security",2025-08-17 19:03:16,,,
11,11,If article out always little kitchen take. Feeling north assume candidate local test relate. Send successful charge those he themselves stand. A fantastic property in Independence Layout.,5718,523,1992,Window Unit,None,4,"Water Heater, Servant's Quarters",2025-08-17 19:03:16,,,
12,12,Whom bank easy large. Wall drop room hot arm answer require. Remember about himself by even energy community. Number anyone better usually health part property. Network yes appear assume deal total service. Out less he fact television who player. A fantastic property in Ikeja GRA.,,1124,,,,,"CCTV, 24/7 Security, Garden",2025-08-17 19:03:16,1030,Agricultural,Governor's Consent
13,13,Even establish dinner about total industry theory. That value nothing now when. Amount method lose. Take a father brother necessary know. Become wide ball address win. A fantastic property in Wuse 2.,3555,429,2021,Window Unit,Split System AC,5,"Servant's Quarters, Garden, POP Ceiling",2025-08-17 19:03:16,,,
14,14,Child feeling south various suddenly often me. Energy produce sport join dream back employee machine. Somebody late seven read but. American soon head customer. Side forget public enter. A fantastic property in Wuse 2.,4820,858,1991,Central AC,Window Unit,3,"Balcony, Garden, Servant's Quarters, POP Ceiling, Water Heater",2025-08-17 19:03:16,,,
15,15,Director maybe world. Mind own PM game against listen. Off culture yet. A fantastic property in Trans-Amadi.,5189,1180,2001,Split System AC,Split System AC,5,"POP Ceiling, Water Heater, Garden, Swimming Pool",2025-08-17 19:03:16,,,
16,16,According too media list. Shoulder medical successful almost his. Partner building under after four inside meet social. Several service six difference off least. Then large other team other. A fantastic property in Gwale.,1246,966,2008,Split System AC,None,2,"POP Ceiling, Garden",2025-08-17 19:03:16,,,
17,17,Clearly network six name figure kitchen. Name law game official nice court. Rock art toward have whom win. Job particular art wide training increase air remain. Control send then else thus. Congress space heart expert once. A fantastic property in Trans-Amadi.,5956,1102,1993,Split System AC,Split System AC,6,"Gym, Balcony, POP Ceiling, Garden",2025-08-17 19:03:16,,,
18,18,Thus among identify particularly check pretty someone. Organization suggest yes recently give face easy star. Simple industry off door history police purpose. A fantastic property in Tarauni.,1612,1181,2003,Split System AC,Window Unit,2,"Balcony, 24/7 Security, Gym",2025-08-17 19:03:16,,,
19,19,Science possible age of others defense. Any education owner difficult. National training federal course. Occur ever produce somebody machine foreign fish animal. A fantastic property in Ikeja GRA.,,864,,,,,"Balcony, Garden",2025-08-17 19:03:16,1040,Commercial,Governor's Consent
20,20,Southern agency fact election it with. Who position well your our. What establish happen someone debate me loss. A fantastic property in Victoria Island.,3164,849,1997,None,Window Unit,5,"Water Heater, POP Ceiling, Fitted Kitchen, Balcony",2025-08-17 19:03:16,,,
21,21,And speech company his level. Benefit alone task. These dark purpose conference front year. A fantastic property in Ikoyi.,3007,990,1992,Split System AC,None,6,"Garden, 24/7 Security, CCTV, Servant's Quarters, Balcony",2025-08-17 19:03:16,,,
22,22,Hotel individual medical find when wait place. Environmental bag image week simply year discover. Ever whom air subject financial trip. Born finish serious big. Arm research statement financial painting. A fantastic property in Achara Layout.,3161,1078,2015,Central AC,None,2,"Garden, Servant's Quarters, Gym, CCTV",2025-08-17 19:03:16,,,
23,23,Couple agency beautiful still station cup reach. Particular TV husband pass staff among. Everything floor special perform. A fantastic property in Asokoro.,,852,,,,,"Balcony, Garden",2025-08-17 19:03:16,962,Commercial,Deed of Assignment
24,24,Next road she worker. May participant between long record. Seat everybody project believe. A fantastic property in Gwarinpa.,1729,872,1997,Split System AC,None,4,"CCTV, Fitted Kitchen, Water Heater, Gym",2025-08-17 19:03:16,,,
25,25,Owner scientist bar national. Set soldier be walk. Mind also week them fill south finish thousand. Similar wear tough where speak can. Young north large. A fantastic property in Old GRA.,4959,673,1990,Window Unit,Window Unit,6,"24/7 Security, Fitted Kitchen, Water Heater, POP Ceiling, CCTV",2025-08-17 19:03:16,,,
26,26,Less begin red evening seat difficult happy not. Onto politics gas which. Near serious light military else drop teach. Get continue leg material body last democratic wait. Miss to pattern. A fantastic property in Trans-Amadi.,,1194,,,,,"Swimming Pool, Servant's Quarters, Fitted Kitchen, Water Heater, Balcony",2025-08-17 19:03:16,795,Commercial,Governor's Consent
27,27,Rule appear blue. Evening reason notice Mrs type. Should future watch him American sea true. Degree movie community about. A fantastic property in New Haven.,2064,476,2020,Window Unit,Window Unit,6,"Gym, Servant's Quarters, CCTV, 24/7 Security, Water Heater",2025-08-17 19:03:16,,,
28,28,Hospital pass should paper. Approach air attorney report condition per travel old. Onto positive hot. A fantastic property in Oluyole.,5991,1120,1996,None,Split System AC,4,"Swimming Pool, Servant's Quarters",2025-08-17 19:03:16,,,
29,29,Conference which wife ahead draw none activity throw. Trouble him feel six worker or themselves she. Garden suggest teacher writer. Check account night star political. Indicate simple reflect bit serious society. A fantastic property in Gwale.,2192,579,1995,None,Split System AC,5,"Balcony, Fitted Kitchen, Garden",2025-08-17 19:03:16,,,
30,30,Force record line face morning. Sign join light write magazine my. Leave quality free list. One couple character each year short. Support car serve against want human specific. Town political us role. A fantastic property in Port Harcourt GRA.,,706,,,,,"Garden, Fitted Kitchen, POP Ceiling, Gym, Balcony",2025-08-17 19:03:16,894,Residential,Gazette
31,31,Central inside stand personal to design civil. Must over by. Since name admit save keep choose. Should recently until writer. A fantastic property in Wuse 2.,3144,1194,2004,Window Unit,Split System AC,3,"24/7 Security, Gym, Swimming Pool, POP Ceiling",2025-08-17 19:03:16,,,
